program_id,title,fields,jobs,job_reason,grade_codes,grade_label,provider,place_name,is_online,status_label,fee_label,detail_url,source_name,field_hits
BN164720D245,[바이오헬스] 2024 찾아가는 바이오헬스융합전공 설명회 운영 안내 [종료],bio,food,"{""food"": ""바이오헬스""}",e4|e5|e6|m1|m2|m3|h1|h2|h3,초4~고3,바이오헬스 혁신융합대학 사업단(상명대학교 공개 게시판),상명대학교,0,종료,미상,https://www.smu.ac.kr/biohealth/haksa/nsbj.do?mode=view&articleNo=746634&article.offset=0&articleLimit=9,바이오헬스 혁신융합대학,바이오
BNC59D9A2B1F,인색개선교육(제약/의약 분야) 교육생 모집 공고,bio,med,"{""med"": ""의약""}",e4|e5|e6|m1|m2|m3|h1|h2|h3,초4~고3,춘천바이오산업진흥원,춘천바이오산업진흥원,0,종료,무료,https://cbfedu.or.kr/cbfedu/education/application,춘천바이오산업진흥원,제약|의약|체외진단|진단
BN4F8444DF2F,인식개선교육(건강기능식품/발효분야) 교육생 모집 공고,bio,med|food,"{""med"": ""진단"", ""food"": ""건강기능식품""}",e4|e5|e6|m1|m2|m3|h1|h2|h3,초4~고3,춘천바이오산업진흥원,춘천바이오산업진흥원,0,종료,무료,https://cbfedu.or.kr/cbfedu/education/application,춘천바이오산업진흥원,체외진단|발효|건강기능식품|진단
BN9741568FAE,인식개선교육(빅데이터/AI분야) 교육생 모집 공고,ai|bio,ai|med,"{""ai"": ""빅데이터"", ""med"": ""진단""}",e4|e5|e6|m1|m2|m3|h1|h2|h3,초4~고3,춘천바이오산업진흥원,춘천바이오산업진흥원,0,종료,무료,https://cbfedu.or.kr/cbfedu/education/application,춘천바이오산업진흥원,빅데이터|데이터|ai|체외진단|진단
BNC8ABA2482C,AI 동화,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""동화""}",e1|e2|e3|e4|e5|e6,초1~초6,주식회사 가르침에듀,학교로 찾아가는 교육,0,진행중,유료,https://www.ggoomgil.go.kr/front/exp/infraMapDetail.do?t_ad=456743,꿈길 춘천 진로체험,ai
BN3BFFDBCFA4,"Ai 활용한 향수만들기 클래스, 조향사 직업체험",ai,ai,"{""ai"": ""ai""}",e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,초1~고3,센트정원,3층 센트정원,0,진행중,유료,https://www.ggoomgil.go.kr/front/exp/infraMapDetail.do?t_ad=436485,꿈길 춘천 진로체험,ai
BNC08484209D,VR CPR 응급구조사 직업체험,sw|bio,dev|med,"{""dev"": ""vr"", ""med"": ""응급""}",e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,초1~고3,주식회사 가르침에듀,학교로 찾아가는 교육,0,진행중,유료,https://www.ggoomgil.go.kr/front/exp/infraMapDetail.do?t_ad=476603,꿈길 춘천 진로체험,vr|응급구조|심폐소생|cpr
BN3A8A2F19DE,가르침ai 웹툰 그림일기쓰기,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""웹툰""}",e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,초1~고3,주식회사 가르침에듀,학교로 찾아가는 교육,0,진행중,유료,https://www.ggoomgil.go.kr/front/exp/infraMapDetail.do?t_ad=474442,꿈길 춘천 진로체험,ai
BNCA7F07268F,나도 여행 메이커!,sw,robot,"{""robot"": ""로봇""}",e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,초1~고3,세그루게스트하우스,세그루게스트하우스,0,진행중,유료,https://www.ggoomgil.go.kr/front/exp/infraMapDetail.do?t_ad=416194,꿈길 춘천 진로체험,메이커
BNB3A3B8A335,드론축구(강원도 춘천센터),sw,robot|drone,"{""robot"": ""로봇"", ""drone"": ""드론""}",e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,초1~고3,항공드론안보 교육체험처,강원도 춘천시 서면 박사로 882 강원창작개발센터 309호 강원춘천지사,0,진행중,유료,https://www.ggoomgil.go.kr/front/exp/infraMapDetail.do?t_ad=405926,꿈길 춘천 진로체험,드론
BN7D903E79A1,찾아가는 디지털 VR-XR 메타버스(진로) 체험,sw,dev,"{""dev"": ""코딩""}",e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,초1~고3,한국재활승마교육센터,한국재활승마교육센터 1층,0,진행중,유료,https://www.ggoomgil.go.kr/front/exp/infraMapDetail.do?t_ad=384414,꿈길 춘천 진로체험,소프트웨어|메타버스|xr|vr
BNA381CEF473,항공드론 체험 (강원도 춘천센터),sw,robot|drone,"{""robot"": ""로봇"", ""drone"": ""드론""}",e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,초1~고3,항공드론안보 교육체험처,강원도 춘천시 서면 박사로 882 강원창작개발센터 309호 강원춘천지사,0,진행중,유료,https://www.ggoomgil.go.kr/front/exp/infraMapDetail.do?t_ad=405924,꿈길 춘천 진로체험,드론
BN83E7ADABE0,혈액원에 알아가는 헌혈에서 수혈까지,bio,med,"{""med"": ""간호""}",e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,초1~고3,대한적십자사 강원특별자치도혈액원,강원혈액원 1층 로비,0,진행중,무료,https://www.ggoomgil.go.kr/front/exp/infraMapDetail.do?t_ad=457042,꿈길 춘천 진로체험,임상|간호|헌혈|수혈|혈액
BN71D8371DC5,2021 장애인인권 프레젠테이션 대회에 참여하세요!,ai,ai,"{""ai"": ""ai""}",,,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=9261&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=5,강원교육청 학생 행사/대회,ai
BN48FC05969B,2024년 찾아가는 공익광고 활용교육(PAIE) 안내,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""광고""}",h1|h2|h3,고1~고3,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=27982&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=3,강원교육청 학생 행사/대회,ai
BNABE942DCBB,2025 강원교육페스타 운영 안내,ai,ai,"{""ai"": ""ai""}",e1|e2|e3|e4|e5|e6,초1~초6,강원특별자치도교육청,강원특별자치도교육청,0,미상,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=45146&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=1,강원교육청 학생 행사/대회,ai
BN40434502CD,2025년 「강원특별자치도 미래인재」 선발,ai,ai,"{""ai"": ""ai""}",e1|e2|e3|e4|e5|e6,초1~초6,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=33688&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=2,강원교육청 학생 행사/대회,ai
BNA01D060668,2025년 강원 학생영상단 모집,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""영상""}",h1|h2|h3,고1~고3,강원특별자치도교육청,강원특별자치도교육청,0,미상,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=39461&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=2,강원교육청 학생 행사/대회,ai
BN03FFF083F3,2050 탄소중립녹색성장위원회 「넷째로 프렌즈」 모집,ai,ai,"{""ai"": ""ai""}",e4|e5|e6|m1|m2|m3|h1|h2|h3,초4~고3,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=9275&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=3,강원교육청 학생 행사/대회,ai
BN364A2F8E06,[강원도] 청소년 올림픽 홍보단 모집,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""홍보""}",m1|m2|m3|h1|h2|h3,중1~고3,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=9265&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=4,강원교육청 학생 행사/대회,ai
BNC195029976,[강원웹툰공모전] 청소년부는 강원도민 또는 도내 중고등학교 재학생 가산점 부여?,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""웹툰""}",m1|m2|m3|h1|h2|h3,중1~고3,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=9272&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=4,강원교육청 학생 행사/대회,ai
BN8780900320,[모집] 2021 강원도교육청 학생기자단 모집,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""기자단""}",h1|h2|h3,고1~고3,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=9259&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=5,강원교육청 학생 행사/대회,ai
BNB7BB0283CC,[모집] 2022년 강원도교육청 학생기자단 '상시' 추가 모집,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""기자단""}",h1|h2|h3,고1~고3,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=9269&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=4,강원교육청 학생 행사/대회,ai
BN7918D505A0,[모집] 2022년 강원도교육청 학생기자단 모집,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""기자단""}",h1|h2|h3,고1~고3,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=9266&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=4,강원교육청 학생 행사/대회,ai
BN123DD1F3F7,[모집] 2022년 강원도교육청 학생기자단 추가 모집,ai,ai|creator,"{""ai"": ""ai"", ""creator"": ""기자단""}",h1|h2|h3,고1~고3,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=9268&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=4,강원교육청 학생 행사/대회,ai
BN1EDE66F58C,[제8회 교육 공공데이터 AI 활용대회] 공식 AI 이용권 신청 안내,ai,ai,"{""ai"": ""공공데이터""}",e4|e5|e6|m1|m2|m3|h1|h2|h3,초4~고3,강원특별자치도교육청,강원특별자치도교육청,0,미상,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=50265&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=1,강원교육청 학생 행사/대회,공공데이터|데이터|ai
BND7216ED8DF,강원특별자치도 미래인재 선발,ai,ai,"{""ai"": ""ai""}",,,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=9277&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=3,강원교육청 학생 행사/대회,ai
BN2C49219201,제11회 대한민국 SW융합 해커톤 대회 강원지역 참가팀 모집 공고,sw|ai,dev|ai,"{""dev"": ""sw"", ""ai"": ""공공데이터""}",h1|h2|h3,고1~고3,강원특별자치도교육청,강원특별자치도교육청,0,미상,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=30993&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=2,강원교육청 학생 행사/대회,sw|공공데이터|데이터
BN96860CB9C8,제7회 교육 공공데이터 분석·활용대회 안내,ai,ai,"{""ai"": ""공공데이터""}",h1|h2|h3,고1~고3,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=37529&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=2,강원교육청 학생 행사/대회,데이터 분석|공공데이터|데이터
BN8D6DB9B1E4,제8회 교육 공공데이터 AI 활용대회 안내,ai,ai,"{""ai"": ""공공데이터""}",e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,초1~고3,강원특별자치도교육청,강원특별자치도교육청,0,미상,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=50100&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=1,강원교육청 학생 행사/대회,공공데이터|데이터|ai
BN4D415D32F3,제8회 교육 공공데이터 AI 활용대회 작품 접수 및 홍보영상 안내,ai,ai|creator,"{""ai"": ""공공데이터"", ""creator"": ""영상""}",e1|e2|e3|e4|e5|e6|m1|m2|m3,초1~중3,강원특별자치도교육청,강원특별자치도교육청,0,종료,미상,https://gwe.go.kr/promotion/bbs/view.do?bbsSn=52063&key=bTI0MTEyMjUyOTA0NjQ=&pageIndex=1,강원교육청 학생 행사/대회,공공데이터|데이터|ai
BN1EFBE0676F,AI스마트교실,ai,ai,"{""ai"": ""ai""}",,,춘천교육문화관,춘천교육문화관,0,종료,무료,https://lib.gwe.go.kr/chuncheonecc,전국 평생학습 표준데이터(춘천분),ai
BN6A98738AD9,생상형 AI 콘텐츠,sw|ai,dev|ai|creator,"{""dev"": ""코딩"", ""ai"": ""ai"", ""creator"": ""콘텐츠""}",e1|e2|e3|e4|e5|e6,초1~초6,춘천교육문화관,춘천교육문화관,0,종료,무료,https://lib.gwe.go.kr/chuncheonecc,전국 평생학습 표준데이터(춘천분),코딩|ai
BN5486CC8319,창의 로봇,sw,robot,"{""robot"": ""로봇""}",e1|e2|e3|e4|e5|e6,초1~초6,춘천교육문화관,춘천교육문화관,0,종료,무료,https://lib.gwe.go.kr/chuncheonecc,전국 평생학습 표준데이터(춘천분),로봇
BN497A33A4F5,컴퓨터기초교실,sw,dev,"{""dev"": ""컴퓨터""}",,,춘천교육문화관,춘천교육문화관,0,종료,무료,https://lib.gwe.go.kr/chuncheonecc,전국 평생학습 표준데이터(춘천분),컴퓨터
BN57E9925835,제31회 바이오캠프 (중등부) HPLC 정량분석,bio,science,"{""science"": ""바이오캠프""}",m1|m2|m3,중1~중3,(재)춘천바이오산업진흥원,춘천바이오산업진흥원,0,종료,미상,https://www.cbf.or.kr/,첨부문서(공고·계획서),바이오
BN7018723F29,제31회 바이오캠프 (초등부),bio,science|food,"{""science"": ""실험"", ""food"": ""화학""}",e4|e5|e6,초4~초6,(재)춘천바이오산업진흥원,춘천바이오산업진흥원,0,종료,미상,https://www.cbf.or.kr/,첨부문서(공고·계획서),바이오|실험|화학
BN0FFE05F68F,제32회 바이오캠프 (온라인),bio,science,"{""science"": ""실험""}",e4|e5|e6,초4~초6,(재)춘천바이오산업진흥원,춘천바이오산업진흥원,1,종료,미상,https://www.cbf.or.kr/,첨부문서(공고·계획서),바이오|미생물|배양|생물|실험
BN0B25A06FA7,제33회 바이오캠프,bio,science,"{""science"": ""실험""}",e4|e5|e6,초4~초6,(재)춘천바이오산업진흥원,춘천바이오산업진흥원,0,종료,미상,https://www.cbf.or.kr/,첨부문서(공고·계획서),바이오|세포|미생물|현미경|생물|실험|dna
BN2F1BD8ABE1,제34회 바이오캠프,bio,science,"{""science"": ""실험""}",e4|e5|e6,초4~초6,(재)춘천바이오산업진흥원,춘천바이오산업진흥원,0,종료,미상,https://www.cbf.or.kr/,첨부문서(공고·계획서),바이오|실험
BNF597698B58,제35회 바이오캠프 오늘은 내가 과학자! 필터의 비밀을 밝혀라!,bio,science,"{""science"": ""실험""}",e4|e5|e6,초4~초6,(재)춘천바이오산업진흥원,춘천바이오산업진흥원,0,종료,미상,https://www.cbf.or.kr/,첨부문서(공고·계획서),바이오|실험
BND4D8C523B7,START UP! 화학공학자 트랙 참여 청소년 모집,bio,food,"{""food"": ""화학공학""}",e3|e4|e5|e6,초3~초6,춘천시청소년수련관,춘천시청소년수련관,0,종료,유료,https://youthzone.chuncheon.go.kr/bbsDetail.do?bbsId=BBSMSTR_000000000071&nttId=1421&PN=sub01_02_02&BT=prog&pageIndex=11&searchCT=&searchCnd=0&searchWrd=,춘천시 청소년 프로그램,화학공학|화학
